Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Гаврилець;Павло;Данилович;Чоловік;1948-05-03;Кінолог;село Очаків;площа Лермонтовський 2-й, буд. 2 кв. 65, Жидачів, 12697;017 668 33 95;lytvynenkopanas@example.org
Тимчук;Михайло;Омелянович;Чоловік;1955-09-19;Випробувач;селище Заліщики;шосе Маріїнська, буд. 10, Верхівцеве, 32681;623-30-80;kostiantynvdovychenko@example.com
Цушко;Симон;Болеславович;Чоловік;1990-02-23;Бібліотекар;хутір Теплодар;площа Лиманний, буд. 9, Апостолове, 86017;+380 41 957-38-43;pylypartiushenko@example.net
Полтавець;Едуард;Юхимович;Чоловік;2004-05-01;Клавішник;хутір Винники;вулиця Міцкевича, буд. 7, Ялта, 63401;716-62-51;hmedvedenko@example.net
Сіробаба;Максим;Станіславович;Чоловік;2003-12-01;Маркетолог;місто Голубівка;сквер Килимовий, буд. 287 кв. 7, Кілія, 80788;+380 (18) 007-09-80;zarubaostap@example.org
Ніколюк;Пантелеймон;Романович;Чоловік;1964-04-07;Патологоанатом;хутір Васильків;сквер Дальницька, буд. 59 кв. 42, Горохів, 17052;041 259 82 65;demianvakarchuk@example.com
Шамрай;Остап;Олексович;Чоловік;1946-06-26;Пілот;хутір Комарно;провулок Відважних, буд. 76 кв. 171, Вознесенськ, 79267;377 00 33;cdzyndra@example.com
Батіг;Пармен;Артемович;Чоловік;1994-05-01;Перекладач;місто Овруч;вулиця Агрономічний, буд. 694 кв. 8, Вознесенськ, 50339;058 646 11 36;xshvaika@example.org
Фурс;Марко;Азарович;Чоловік;1943-06-29;Кінолог;село Тлумач;площа Магнітогорська, буд. 26 кв. 7, Новоукраїнка, 08483;+380 85 344-07-70;havrylovlasenko@example.com
Демиденко;Гліб;Йосипович;Чоловік;1971-03-22;Конструктор;село Кобеляки;вулиця Стеценко, буд. 30, Бережани, 87074;257-08-30;iustynamiroshnychenko@example.org
Литвиненко;Арсен;Леопольдович;Чоловік;1989-02-04;Правник;хутір Погребище;набережна Каштанова, буд. 83, Вараш, 27049;+380 01 372-48-65;miarosh@example.net
Яремків;Яків;Леонідович;Чоловік;1987-02-06;Зоолог;селище Славутич;сквер Шевченка парк, буд. 0, Березань , 33616;350-67-76;iakiv80@example.org
Малишко;Гордій;Хомович;Чоловік;1967-11-08;Швачка;хутір Кадіївка;парк Мариністів, буд. 658, Глиняни, 10185;095 633 42 33;izhadan@example.com
Дубенко;Устим;Орестович;Чоловік;2006-01-28;Підприємець;місто Кобеляки;проспект Вокзальний, буд. 233, Коростишів, 40913;076 155-40-94;danchukvenedykt@example.net
Лисенко;Артем;Аврелійович;Чоловік;1984-03-18;Реставратор;хутір Знам'янка;шосе Бреуса, буд. 683 кв. 58, Тараща, 89055;669 46 31;iaroslav16@example.net
Парасюк;Зорян;Ааронович;Чоловік;1998-07-12;Фармацевт;місто Новий Буг;проспект Вільгельма Габсбурга, буд. 244 кв. 2, Нова Каховка, 71220;352 34 31;revales@example.org
Щириця;Олександр;Алевтинович;Чоловік;1984-11-02;Петрограф;селище Бердичів;площа Тираспольська, буд. 9 кв. 34, Шпола, 67823;099 815 55 88;orynavermenych@example.org
Дараган;Артем;Леонтійович;Чоловік;1997-11-01;Парфюмер;місто Ямпіль;проспект Проїзний 1-й, буд. 566 кв. 151, Ворожба, 94779;143 98 05;dan09@example.net
Демиденко;Яків;Орестович;Чоловік;1969-04-12;Піаніст;селище Боярка;площа Дачний 1-й, буд. 73, Добропілля, 88084;276-29-64;stefandutka@example.net
Гузій;Сергій;Олегович;Чоловік;1962-10-07;Актор;село Новомосковськ;шосе Цебриківська, буд. 4 кв. 8, Перевальськ, 21222;+380 51 705-65-36;kmazepa@example.org
Їжакевич;Владислав;Станіславович;Чоловік;1960-08-06;Антрополог;хутір Рені;шосе Естонський, буд. 26, Самбір, 08758;+380 76 617-52-36;iermolenkorostyslav@example.org
Скоробогатько;Альберт;Теодорович;Чоловік;1993-04-21;Історик;село Українськ;провулок Головна, буд. 0 кв. 228, Новий Буг, 37606;508 96 87;tetianabarannyk@example.net
Конопля;Герман;Гаврилович;Чоловік;1968-08-05;Палеонтолог;село Сколе;проспект Економічний, буд. 31, Житомир, 02539;+380 88 513-40-79;anita00@example.com
Франко;Леопольд;Омелянович;Чоловік;1985-11-01;Кінокритик;місто Сарни;набережна 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 42, Хрестівка, 80726;+380 95 208-02-89;vrak@example.net
Скопенко;Нестор;Соломонович;Чоловік;1987-10-29;Парфюмер;селище Ромни;парк Шовкуненка, буд. 974 кв. 643, Новодністровськ, 46296;+380 93 480 86 14;iustynademydenko@example.org
Фоменко;Олег;Гордійович;Чоловік;1953-05-01;Різноробочий;село Деражня;проспект Миколи Бажана, буд. 1, Слов'янськ, 37937;+380 (93) 174-52-00;boryslav03@example.org
Вдовенко;Тарас;Єфремович;Чоловік;1952-10-15;Пекар;місто Петрово-Красносілля;проспект Умова, буд. 36 кв. 52, Чоп, 20834;063 888-76-98;iefymenkoadam@example.com
Терещенко;Лукʼян;Віталійович;Чоловік;1966-12-21;Машиніст;місто Снятин;узвіз Технічний, буд. 11 кв. 9, Рудки, 87489;+380 74 699 66 29;tovstolisroksolana@example.net
Ванченко;Олекса;Устимович;Чоловік;1973-06-08;Клавішник;хутір Ладижин;провулок Змієнка Всеволода, буд. 30, Мирноград, 23011;057 773-56-79;herman75@example.com
Христич;Веніямин;Лукʼянович;Чоловік;1955-01-28;Золотар;хутір Сімферополь;набережна Білоруська, буд. 87, Сновськ, 76703;000 574-55-80;katamanchuk@example.net
Ільєнко;Едуард;Пантелеймонович;Чоловік;2007-09-29;Модель;селище Полонне;набережна Донцова Дмитра, буд. 107 кв. 525, Карлівка, 17987;442 75 73;skorobohatkovarfolomii@example.net
Затовканюк;Кирило;Антонович;Чоловік;1971-10-26;Хореограф;село Миргород;провулок Адміральський, буд. 1 кв. 237, Володимир-Волинський, 16079;+380 67 570-64-82;fursvladyslav@example.net
Олійник;Орест;Азарович;Чоловік;1958-04-07;Педагог;село Ніжин;шосе Басейний 2-й, буд. 6, Борщів, 54413;+380 74 445 13 63;edemydenko@example.org
Царенко;Трохим;Леонідович;Чоловік;1976-06-17;Мікробіолог;місто Шумськ;провулок 21-й км Старокиївської дороги, буд. 70, Сарни, 64830;+380 (55) 357-44-27;leopold50@example.com
Рак;Антон;Опанасович;Чоловік;1954-02-16;М'ясник;село Корець;узвіз Пересипський узвіз, буд. 457 кв. 40, Ічня, 51677;000 880 76 17;fgerus@example.org
Барабаш;Феофан;Устимович;Чоловік;1985-01-15;Намотувальник;місто Тисмениця;сквер Лазурний 3-й, буд. 9, Кролевець, 05782;945-04-44;halynaabramchuk@example.org
Романець;Мирон;Максимович;Чоловік;1985-03-02;Продюсер;село Армянськ;узвіз Світанку, буд. 88 кв. 7, Попасна, 40983;090 982-34-76;hoholbohdanna@example.org
Дробаха;Охрім;Глібович;Чоловік;1953-04-07;Вчитель;місто Токмак;набережна Басейний 6-й, буд. 8 кв. 3, Кременчук, 85801;041-51-55;boryslav91@example.net
Юрчишин;Йосип;Григорійович;Чоловік;1980-06-01;Менеджер;селище Буча;парк Герцена, буд. 55 кв. 79, Лисичанськ, 71392;018 600 10 70;pylypsymonenko@example.net
Аверченко;Едуард;Аркадійович;Чоловік;1948-11-06;Парфюмер;селище Жмеринка;набережна Радіальний, буд. 662, Овруч, 49849;+380 72 351 54 12;iarema47@example.org
